"anio","fecha_inicio_solicitudes","fecha_fin_solicitudes","cod_universidad","des_universidad","cod_convocatoria","des_convocatoria","nombre_convocatoria","cod_univ_aplicacion","des_univ_aplicacion","cod_ambito_aplicacion","des_ambito_aplicacion","cod_agente_financiador","des_agente_financiador","cod_agente_cofinanciador","des_agente_cofinanciador","ind_efectos_multianuales","num_periodos","cod_categoria","des_categoria","cod_financia_matricula","des_financia_matricula","ind_modalidad_compensatoria","cod_modalidad_residencia","des_modalidad_residencia","cod_modalidad_mov_interna","des_modalidad_mov_interna","cod_modalidad_mov_internacional","des_modalidad_mov_internacional","cod_modalidad_gastos_despl","des_modalidad_gastos_despl","cod_modalidad_material","des_modalidad_material","cod_modalidad_comedor","des_modalidad_comedor","cod_modalidad_contraprestacion_serv","des_modalidad_contraprestacion_serv","cod_modalidad_idiomas","des_modalidad_idiomas","ind_modalidad_discapacidad","ind_modalidad_seguros","ind_otras_modalidades","cod_nivel_estudios","des_nivel_estudios","ind_req_rendimiento","ind_req_creditos","ind_req_renta","ind_req_patrimonio","ind_req_discapacidad","ind_req_genero","ind_req_edad","ind_req_residencia_curso","ind_req_residencia_habitual","ind_req_vinc_territorial","cod_req_nacionalidad","des_req_nacionalidad","ind_req_presencialidad","ind_req_credencial_becario","ind_req_desempleado","ind_complementaria","ind_incompatible","presupuesto_inicial","presupuesto_ejecutado","num_plazas"
"2020",,,"023","Universidad Autónoma de Madrid","131023306","Convocatoria de becas UAM-GRUPO SANTANDER para realizar estudios en la  UAM","Convocatoria de becas UAM-Banco Santander para realizar estudios en la UAM. NBO","1","Públicas","4","Estudiantes extranjeros","6","Otro organismo privado","0","No hay","NO",,"1","Becas y ayudas","0","No","NO","1","Sí, de carácter pecuniario","0","No","1","Sí, de carácter pecuniario","1","Sí, de carácter pecuniario","0","No","1","Sí, de carácter pecuniario","0","No","2","Sí, en especie","NO","SÍ","NO","6","Grado, Máster y Doctorado","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","2","Sí, extranjera","NO","NO","NO","NO","NO",,"312550","61"
"2019","20191008","20191022","023","Universidad Autónoma de Madrid","131023307","Convocatoria de becas UAM-GRUPO SANTANDER para realizar estudios en América latina","Convocatoria de becas UAM-Banco Santander para realizar estudios en América Latina. NBO","3","Ambas","5","Estudiantes en la universidad convocante","6","Otro organismo privado","0","No hay","NO",,"1","Becas y ayudas","0","No","NO","1","Sí, de carácter pecuniario","0","No","1","Sí, de carácter pecuniario","0","No","0","No","1","Sí, de carácter pecuniario","0","No","0","No","NO","SÍ","NO","6","Grado, Máster y Doctorado","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","0","No","NO","NO","NO","NO","NO",,"254585","65"
"2020","20200703","20200904","023","Universidad Autónoma de Madrid","131023308","Beca de AULA","Becas de Aula. NBO","1","Públicas","5","Estudiantes en la universidad convocante","6","Otro organismo privado","0","No hay","NO",,"2","Colaboración","0","No","NO","0","No","0","No","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","0","No","NO","NO","NO","1","Grado (incluyendo primer y segundo ciclo)","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","0","No","SÍ","NO","NO","SÍ","NO","14400","6400","8"
"2020","20200707","20200715","023","Universidad Autónoma de Madrid","131023311","Programa de Prácticas Curriculares con Ayuda al Estudio OPE Grado","Programa de Prácticas Curriculares con Ayuda al Estudio OPE Grado. NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","NO","1","1","Becas y ayudas","0","No","NO","0","No","0","No","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","0","No","NO","NO","NO","6","Grado, Máster y Doctorado","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","0","No","NO","NO","NO","SÍ","SÍ","4339,99","4339,99","8"
"2021","20201218","20210110","023","Universidad Autónoma de Madrid","131023311","Programa de Prácticas Curriculares con Ayuda al Estudio OPE Grado","Programa de Prácticas Curriculares con Ayuda al Estudio OPE Grado. NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","NO","1","1","Becas y ayudas","0","No","NO","0","No","0","No","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","0","No","NO","NO","NO","6","Grado, Máster y Doctorado","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","0","No","NO","NO","NO","SÍ","SÍ","9813,34","9813,34","14"
"2020","20200707","20200715","023","Universidad Autónoma de Madrid","131023312","Programa de Prácticas Curriculares con Ayuda al Estudio OPE Posgrado","Programa de Prácticas Curriculares con Ayuda al Estudio OPE Posgrado.  NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","NO","1","1","Becas y ayudas","0","No","NO","0","No","0","No","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","0","No","NO","NO","NO","5","Máster y Doctorado","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","0","No","NO","NO","NO","SÍ","SÍ","6173,55","6173,55","5"
"2021","20201218","20210110","023","Universidad Autónoma de Madrid","131023312","Programa de Prácticas Curriculares con Ayuda al Estudio OPE Posgrado","Programa de Prácticas Curriculares con Ayuda al Estudio OPE Posgrado.  NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","NO","1","1","Becas y ayudas","0","No","NO","0","No","0","No","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","0","No","NO","NO","NO","5","Máster y Doctorado","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","0","No","NO","NO","NO","SÍ","SÍ","14520","14520","11"
"2020","20200706","20200806","023","Universidad Autónoma de Madrid","131023313","Programa de ayudas de estudios a estudiantes refugiados o solicitantes de asilo","Convocatoria de ayudas de estudios a estudiantes refugiados o solicitantes de asilo. NBO","1","Públicas","4","Estudiantes extranjeros","4","Universidad","0","No hay","SÍ","4","1","Becas y ayudas","1","Sí, de carácter pecuniario","SÍ","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","0","No","0","No","1","Sí, de carácter pecuniario","NO","NO","NO","6","Grado, Máster y Doctorado","SÍ","NO","SÍ","NO","NO","NO","NO","SÍ","SÍ","SÍ","0","No","SÍ","NO","NO","NO","NO",,,
"2019","20191014","20191114","023","Universidad Autónoma de Madrid","131023313","Programa de ayudas de estudios a estudiantes refugiados o solicitantes de asilo","Convocatoria de ayudas de estudios a estudiantes refugiados o solicitantes de asilo. NBO","1","Públicas","4","Estudiantes extranjeros","4","Universidad","0","No hay","SÍ","4","1","Becas y ayudas","1","Sí, de carácter pecuniario","SÍ","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","0","No","0","No","1","Sí, de carácter pecuniario","NO","NO","NO","6","Grado, Máster y Doctorado","SÍ","NO","SÍ","NO","NO","NO","NO","SÍ","SÍ","SÍ","0","No","SÍ","NO","NO","NO","NO",,,
"2018","20190320","20190420","023","Universidad Autónoma de Madrid","131023313","Programa de ayudas de estudios a estudiantes refugiados o solicitantes de asilo","Convocatoria de ayudas de estudios a estudiantes refugiados o solicitantes de asilo. NBO","1","Públicas","4","Estudiantes extranjeros","4","Universidad","0","No hay","SÍ","4","1","Becas y ayudas","1","Sí, de carácter pecuniario","NO","0","No","0","No","0","No","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","NO","NO","NO","6","Grado, Máster y Doctorado","SÍ","NO","SÍ","NO","NO","NO","NO","SÍ","SÍ","SÍ","0","No","SÍ","NO","NO","NO","NO",,,
